Alta gestión y gerencia,Estrategía y posicionamiento ,Comercialización y Marketing,Prototipado,investigacion y desarrollo de nuesvos productos,Asesoria legal,Asesoria contable y financiera,Habilidad de presentación del proyecto y habilidades públicas,Servicios financieros, valoración e inversión,Operaciones y procesos,Costeo de productos y servicios,Internalización de los productos o servicios
MACONDO CAFÉ SAS,1,0,0,1,0,1,1,1,0,1,1,1
Baviera Fusión,1,0,0,1,1,1,1,1,1,1,1,1
Bosque de Niebla Birding & Nature,1,0,0,1,1,1,1,1,1,1,1,1
mj rental tours,1,1,0,1,1,0,0,1,1,1,1,1
CRUCERO TURISMO SAS,1,1,0,1,0,1,1,1,1,0,1,1
Malik Hotel Boutique,1,1,0,1,1,1,0,0,0,1,0,0
TRAVELMANIA AGENCIA DE VIAJES  SAS,1,1,1,1,0,1,1,1,1,1,1,1
Elite Butler Services,1,0,1,1,1,1,1,1,1,1,1,0
HELADERIA DOÑA FRANCIA S.A.S.,1,0,0,1,0,1,0,1,1,0,0,1
"Dónde He,Li",1,1,1,1,1,1,0,1,0,1,0,1
Aliados Travel,1,0,0,1,1,1,1,1,1,1,1,1
Inversiones Burger 77 S.A.S,0,1,0,1,1,1,1,1,1,1,1,1
Yogurmet,1,0,0,1,1,1,1,1,0,1,1,1
LuzSociedad,1,0,0,1,1,0,0,1,0,0,1,1
El rancho de stella,1,0,1,1,1,1,1,1,1,1,1,1
Alko Hoteles,1,1,1,1,1,1,1,1,1,1,1,0
Banano el productor SAS,1,1,0,1,1,1,1,0,1,0,0,0
Hotel Spirito (Spiwak compañia edificadora),1,0,0,1,0,1,1,1,1,1,1,1
orait Soluciones integrales S.A.S,1,0,0,1,1,1,0,1,1,1,1,0
Museo Hacienda Cañasgordas,1,1,1,1,0,1,1,0,1,1,0,0
MIVIC SAS,0,0,0,1,1,1,1,1,1,1,1,0
Ecotur sabor,1,0,1,1,1,0,0,0,0,1,0,0
Travel & Business Solutions SAS,1,0,0,1,1,1,0,1,0,1,1,1
"Be Pacific, heal the world with tourism",1,0,1,1,0,1,1,1,1,1,1,0
MAGICAL COLOMBIA SAS,1,1,0,1,1,1,1,0,1,1,1,1
Niceeat S.A.S.,0,0,0,1,1,1,1,1,1,1,1,1
MAYORISTA TEAM TRAVEL S.A.S,1,1,1,0,0,1,1,1,1,1,1,0
Guía Farallones,1,0,0,1,1,1,1,1,1,1,1,0
Hostal La Marthica,1,0,0,1,0,1,1,1,1,1,1,1
JE TOURS,1,0,0,1,0,1,1,0,1,1,1,0
ARTESANIAS LA CALEÑITA SAS,0,0,1,1,1,1,1,1,1,0,0,1
Colombian Bike Roads,1,0,0,1,1,0,0,0,0,1,1,0
Grupo Montenegro SAS,1,0,0,1,0,1,1,1,1,1,1,0
AGENCIA DE VIAJES CALITRAVEL SAS,1,1,0,1,1,1,1,1,1,1,1,1
MARVEL TOURS AND TRAVEL SAS,1,1,0,1,0,1,1,1,1,1,1,0
VIAJES R&G TOURS,1,0,0,1,1,1,1,1,0,1,1,1
anita tun tun fast food,1,0,0,1,1,1,1,1,1,0,0,1
alilat sas,0,1,0,1,1,1,1,0,1,1,1,1
Foodland,1,0,0,0,0,0,0,0,1,1,1,1
Urban Food Company,0,0,0,1,0,0,0,1,1,1,0,1
Sr jordan burger house,1,0,0,1,1,0,0,0,0,1,0,1
AGENCIA OPERADORA DE TURISMO SOSTENIBLE,0,0,0,1,0,1,0,1,0,0,1,1
TIN TIN DEO LA CULTURA DE LA RUMBA,1,1,0,1,1,1,0,1,1,1,1,1
Legendary travel club,0,1,0,0,1,1,1,1,1,0,1,0
DESTINO PACÍFICO SAS,1,0,0,1,1,1,1,1,1,1,1,0
Carambolo Garden,1,1,0,1,1,1,1,0,1,1,1,1
Sabrocity,1,0,0,1,0,0,1,0,1,1,1,1
Programa conozcamos tour,1,1,1,1,0,1,1,1,0,1,1,1
Artesana Pizza,1,1,0,1,1,1,0,1,0,1,1,1
SALIMOS EN CALI VÈ,0,1,1,1,1,0,1,1,1,1,1,1
Caminando por el Valle,1,1,1,1,0,1,0,1,1,1,1,0
SIMÓN PARRILLA &TIPICOS COMERC. DE ALIMENTOS HAPEMO SAS,1,1,0,1,1,1,1,1,1,1,1,1
Ancestral Saberes y Conocimientos GastroBar,0,0,0,0,0,0,0,0,0,0,1,0
Grupo Living S.A.S.  - Gastrotour,1,1,0,1,1,1,1,1,0,1,1,0
Trópico Coctelería,1,0,0,0,0,0,1,0,0,0,1,0
Jn pizza,1,1,0,1,1,0,0,0,0,1,0,1
Fundacion Museo del Vinagre,1,0,0,1,1,0,1,0,1,1,0,0
EVENTOUR SPORT SAS,1,0,0,1,1,1,1,1,1,1,1,1
La Hacienda,1,1,0,1,1,1,1,1,1,1,1,1
La Divina Trinidad y Amigos SAS,0,0,0,1,1,1,0,1,0,1,1,1
Saludando,1,0,0,1,1,1,1,1,0,1,0,1
Volando Paraiso Aventura s.a.s.,0,0,0,1,0,0,0,1,1,0,1,0
Fast food ruta 40,0,0,0,0,0,0,0,0,0,0,0,0
Easy Autos Rent a car,1,0,0,1,1,0,1,1,0,1,1,1
HOTEL COSMOS CALI,1,0,0,1,0,1,1,1,0,0,0,0
Unik Go S.A.S - Viveletsgo,1,0,0,1,0,1,1,1,1,1,1,0
FIT LUNCH,1,1,0,1,1,1,0,1,1,1,0,1
Albatros Viajes y Turismo,1,1,0,1,1,1,1,1,1,1,1,1
YURA FOODS,1,0,0,1,1,1,1,1,1,1,0,1
CaliNatif,0,1,0,1,1,0,0,1,0,0,0,1
CALI TRAVEL,0,0,0,1,0,1,1,0,1,1,0,0
Agencia de Turismo Valley Adventours s.a.s,1,1,0,1,0,1,1,1,1,1,1,0
Hotel Everest Cali,1,1,1,1,1,0,0,0,1,1,1,1
GLOBAL MIRAMAR,0,0,0,0,1,0,1,0,0,0,1,0
Minimal Travel Agency,1,1,1,1,1,0,0,1,1,1,1,1
Fundacion Andoke,1,0,0,1,1,1,1,0,1,1,1,1
Oreliz turismo,1,0,0,1,0,0,0,1,0,0,0,1
CLAUDIA RINCON/CR VIAJES Y ASESORIAS,1,1,0,1,0,0,0,0,1,1,1,1
Maria fernanda Sánchez event designer,0,0,0,0,0,0,0,0,0,0,0,0
ICARO BAR,1,1,0,1,1,1,0,1,0,1,1,1
Fundación Créalo,1,1,0,1,1,1,1,1,1,1,1,1
Valle Travel Agencia de Viajes,0,0,0,1,1,1,0,0,1,1,1,1
Hoturis Viajes,1,0,0,1,1,0,1,0,0,1,1,1
Compañia Artistica El Mulato Y Su Swing Latino,0,0,0,1,0,1,1,0,1,1,1,0
LILI RESTREPO LOPEZ HOTEL ORQUIDEA,1,1,0,1,1,1,1,1,1,1,1,1
Santa pasión café,1,0,0,1,1,1,1,1,1,1,1,1
CASA SANTA MONICA SAS,1,1,0,1,1,1,1,1,1,1,1,0
Here We Go Trip,1,1,0,1,1,0,0,1,1,1,1,1
Calima rentacar operador turistico,1,1,0,1,1,1,0,1,1,1,1,1
INCIVA,1,1,0,1,1,1,1,1,1,1,1,1
Expedición Roots,1,0,0,1,1,1,0,1,1,1,1,0
MERAKI APARTAHOTEL EXCLUSIVO,1,1,1,1,1,1,0,1,0,1,1,0
Asoagrocabras,1,1,1,1,1,1,1,1,0,1,1,1
HOTEL VIZCAYA REAL  AZOR HOTEL,0,0,0,1,0,0,0,1,1,1,0,0
Valletours SAS,1,0,1,1,1,1,1,1,0,1,1,1
Casa De La Arepa Food,1,0,0,1,1,1,1,0,0,1,1,1
Oliverio Tours,1,1,0,0,0,1,1,1,1,1,1,0
Del Castillo,1,0,1,1,1,1,0,1,0,1,1,1
Vibes Lounge Bar SAS,1,0,0,1,1,0,1,1,1,1,1,1
Zaperoco bar,1,1,1,1,1,1,1,1,0,1,1,1
Casa Dispersa,1,0,0,1,1,1,0,1,1,0,0,1
GALETTE,0,0,0,1,0,0,0,0,0,0,0,0
Turysa Tours,1,0,0,0,0,0,1,0,1,0,1,1
Hotel la gran posada sas,1,1,0,1,1,0,0,1,0,1,1,1
CASA MIA,0,0,0,1,0,0,0,0,0,0,0,0
GALETTE,0,0,0,0,0,0,0,0,0,0,0,0
IZATOURS,1,1,0,1,1,1,1,1,1,1,1,1
VIAJESCAPITAL,1,1,0,1,0,1,1,1,1,1,1,1
HOTEL TURISTICO LA LUNA S.A.,0,0,0,0,0,1,1,0,1,1,1,1
Viajes che SAS,1,1,1,1,0,1,1,0,1,1,0,0
Vorse Solutions,1,0,0,1,1,0,1,1,1,1,1,1
EL NILO PANCE,1,1,0,1,1,1,1,1,1,1,1,0
viajes uramba,1,0,0,1,1,1,0,1,0,1,0,0
Babilla Suites,1,0,0,1,1,0,0,1,1,0,0,0
Restaurante la embajada de Ginebra,1,1,0,1,1,1,0,1,1,1,0,1
Trilogia,1,0,0,1,1,1,1,1,0,1,1,1
